title,rating,popularity,category,release_date
The Devil's Mouth,10.0,3.7153,upcoming,2026-07-29
Avatar Aang: The Last Airbender,9.412,263.3778,popular,2026-07-24
Avatar Aang: The Last Airbender,9.412,263.3778,now_playing,2026-07-24
Dear You,9.238,14.9232,now_playing,2026-04-30
Dear You,9.238,14.9232,upcoming,2026-04-30
Accidental Partners,8.969,31.9094,top_rated,2026-03-12
Swapped,8.894,70.2294,top_rated,2026-05-01
Swapped,8.894,70.2294,popular,2026-05-01
The Shawshank Redemption,8.726,114.7426,top_rated,1994-09-23
The Shawshank Redemption,8.726,114.7426,popular,1994-09-23
Michael,8.696,123.2464,top_rated,2026-04-22
Michael,8.696,123.2464,popular,2026-04-22
The Godfather,8.687,49.3532,top_rated,1972-03-14
The Godfather,8.687,49.3532,popular,1972-03-14
Project Hail Mary,8.661,199.5479,top_rated,2026-03-15
Project Hail Mary,8.661,199.5479,popular,2026-03-15
The Godfather Part II,8.572,32.4633,top_rated,1974-12-20
Schindler's List,8.571,30.1194,top_rated,1993-12-15
12 Angry Men,8.566,25.6191,top_rated,1957-04-10
Spirited Away,8.534,33.7165,top_rated,2001-07-20
The Dark Knight,8.534,55.7773,top_rated,2008-07-16
Spirited Away,8.534,33.7165,upcoming,2001-07-20
Dilwale Dulhania Le Jayenge,8.509,14.8919,top_rated,1995-10-20
The Green Mile,8.506,34.5357,top_rated,1999-12-10
The Lord of the Rings: The Return of the King,8.502,50.4067,top_rated,2003-12-17
The Lord of the Rings: The Return of the King,8.502,50.4067,popular,2003-12-17
"The Good, the Bad and the Ugly",8.5,21.2322,top_rated,1966-12-23
Interstellar,8.5,80.4032,popular,2014-11-05
The Dark Knight,8.5,55.7773,popular,2008-07-16
Remarkably Bright Creatures,8.492,33.5711,top_rated,2026-05-07
Parasite,8.49,37.7447,top_rated,2019-05-30
Interstellar,8.483,80.4032,top_rated,2014-11-05
¿Quieres ser mi hijo?,8.483,12.1255,top_rated,2023-09-21
Pulp Fiction,8.482,38.0897,top_rated,1994-09-10
Your Name.,8.481,25.4611,top_rated,2016-07-01
Protector,8.477,21.3284,top_rated,2026-02-20
Protector,8.477,21.3284,now_playing,2026-02-20
Chainsaw Man - The Movie: Reze Arc,8.469,26.3406,top_rated,2025-09-19
Forrest Gump,8.464,34.3366,top_rated,1994-06-23
GoodFellas,8.452,26.2301,top_rated,1990-09-12
Seven Samurai,8.451,14.0365,top_rated,1954-04-26
Harakiri,8.442,8.7639,top_rated,1962-09-15
Grave of the Fireflies,8.442,0.0151,top_rated,1988-04-16
Life Is Beautiful,8.439,18.9182,top_rated,1997-12-20
The Lord of the Rings: The Fellowship of the Ring,8.439,44.3627,top_rated,2001-12-18
The Lord of the Rings: The Fellowship of the Ring,8.439,44.3627,popular,2001-12-18
Fight Club,8.438,42.3161,top_rated,1999-10-15
Cinema Paradiso,8.429,14.3983,top_rated,1988-11-17
City of God,8.428,13.7769,top_rated,2002-08-30
The Lord of the Rings: The Two Towers,8.424,37.1092,top_rated,2002-12-18
